Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Full-Scale Hybrid Effectiveness-Implementation Trials for Mental Health Interventions (R01 - Clinical Trial Required)","11/26/2024","10/16/2027","R01","NIH","NIMH","None","PAR-25-177","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-177.html"
"HIV Prevention and Alcohol (R01 Clinical Trials Optional)","11/25/2024","5/8/2026","R01","NIH","NIAAA","ODP","PAS-25-208","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-208.html"
"Notice of Special Interest (NOSI): Discovery and Development of Natural Products to Treat Substance Use Disorders (SUDs)","11/25/2024","1/8/2029","R01,UG3/UH3,U01,R21","NIH","NIDA","NCCIH","NOT-DA-25-032","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-DA-25-032.html"
"HIV Prevention and Alcohol (R34 Clinical Trials Optional)","11/25/2024","5/8/2026","R34","NIH","NIAAA","None","PAS-25-161","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-161.html"
"Development of Animal Models and Related Biological Materials for Down Syndrome Research (R21 Clinical Trial Not Allowed)","11/25/2024","1/8/2026","R21","NIH","OD","NHLBI, NIA, NIAID, NICHD, NIDCD, ORIP","PAR-25-214","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-214.html"
"Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R34 Clinical Trial Required)","11/25/2024","1/8/2028","R34","NIH","NIMH","None","PAR-25-288","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-288.html"
"Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R01 Clinical Trial Required)","11/25/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-289","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-289.html"
"NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional)","11/25/2024","1/8/2026","R01","NIH","NLM","ODSS","PAR-25-238","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-238.html"
"The Role of Work in Health Disparities in the U.S. (R01 Clinical Trials Optional)","11/25/2024","1/8/2028","R01","NIH","NIMHD","NCI, NIA, NIDA, NIMH, NINR","PAR-25-292","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-292.html"
"New Approaches for Measuring Brain Changes Across Longer Timespans (R01 Clinical Trial Optional)","11/25/2024","5/8/2027","R01","NIH","NIA","NCI, NIBIB, NICHD","PAR-25-279","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-279.html"
"New Approaches for Measuring Brain Changes Across Longer Timespans (R21 Clinical Trial Optional)","11/25/2024","5/8/2027","R21","NIH","NIA","NCI, NICHD","PAR-25-272","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-272.html"
"Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R34 Clinical Trial Optional)","11/25/2024","1/8/2027","R34","NIH","NIAAA","ODP","PAR-25-159","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-159.html"
"Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R61/R33 Clinical Trial Optional)","11/25/2024","11/18/2026","R61/R33","NIH","NIAAA","None","PAR-25-158","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-158.html"
"Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R01 Clinical Trial Optional)","11/22/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-290","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-290.html"
"Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R21 Clinical Trial Optional)","11/22/2024","1/8/2028","R21","NIH","NIMH","None","PAR-25-291","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-291.html"
"Seamless Early-Stage Clinical Drug Development (Phase 1 to 2a) for Novel therapeutic Agents for the Spectrum of Alzheimer's Disease (AD) and AD-related Dementias (ADRD) (UG3/UH3 Clinical Trial Required)","11/22/2024","11/20/2026","UG3/UH3","NIH","NIA","None","PAR-25-226","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-226.html"
"Mood and Psychosis Symptoms during the Menopause Transition (R21 Clinical Trial Optional)","11/22/2024","1/8/2028","R21","NIH","NIMH","ORWH","PAR-25-282","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-282.html"
"Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional)","11/22/2024","1/8/2028","R01","NIH","NIMH","ORWH","PAR-25-281","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-281.html"
"Catalyze: Product Definition  Medical Device Prototype Optimization (R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-020","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-020.html"
"Catalyze Product Definition  Medical Device prototype design/testing and disease target identification and assay development (R61/R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R61/R33","NIH","NHLBI","None","RFA-HL-26-019","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-019.html"
"Catalyze: Product Definition for Small Molecules, Biologics, and Combination Products - Preliminary Product/Lead Series Identification and Combination Product Prototype (R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-018","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-018.html"
"Catalyze: Product Definition for Small Molecules, Biologics and Combination Products - Target Identification and Validation, and Preliminary Product/Lead Series Identification (R61/R33  Clinical Trials Not Allowed)","11/22/2024","12/24/2027","R61/R33","NIH","NHLBI","None","RFA-HL-26-017","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-017.html"
"Advancing Translation of Long-Acting Strategies for HIV and HIV-Associated Co-infections (AT LASt) (R61/R33 Clinical Trial Not Allowed)","11/22/2024","3/14/2025","R61/R33","NIH","NIAID","None","RFA-AI-24-076","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-076.html"
"Cancer Tissue Engineering Collaborative: Enabling Biomimetic Tissue-Engineered Technologies for Cancer Research (R01 Clinical Trial Optional)","11/22/2024","5/8/2025","R01","NIH","NCI","None","PAR-25-171","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-171.html"
"Catalyze: Enabling Technologies and Transformative Platforms for HLBS Research (R33 - Clinical Trials Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-016","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-016.html"
"Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R21 Clinical Trial Optional)","11/21/2024","9/8/2025","R21","NIH","NCI","None","PA-25-295","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-295.html"
"Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R01 Clinical Trial Optional)","11/21/2024","9/8/2025","R01","NIH","NCI","None","PA-25-294","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-294.html"
"Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R01 Clinical Trial Not Allowed)","11/21/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-287","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-287.html"
"Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed)","11/21/2024","1/8/2028","R21","NIH","NIMH","None","PAR-25-286","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-286.html"
"Utilizing the PLCO Biospecimens Resource to Bridge Gaps in Cancer Etiology and Early Detection Research (U01 Clinical Trial Not Allowed)","11/21/2024","10/9/2027","U01","NIH","NCI","None","PAR-25-248","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-248.html"
"Limited Competition: Competing Revisions to Support Clinical Trials in Somatic Cell Genome Editing (U19 Clinical Trial Required)","11/21/2024","2/14/2026","U19","NIH","RMOD","None","RFA-RM-24-008","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-24-008.html"
"Feasibility Clinical Trials of Mind and Body Interventions for NCCIH High Priority Research Topics (R34 Clinical Trial Required)","11/21/2024","11/18/2026","R34","NIH","NCCIH","None","PAR-25-274","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-274.html"
"Understanding Expectancies in Cancer Symptom Management (R01 Clinical Trial Required)","11/21/2024","5/8/2026","R01","NIH","NCI","None","PAR-25-254","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-254.html"
"Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required)","11/21/2024","11/18/2026","R01","NIH","NCCIH","None","PAR-25-268","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-268.html"
"NEI Postbaccalaureate Opportunities in Vision Science (POVS) Research Education Program (R25 Clinical Trial Not Allowed)","11/21/2024","1/26/2027","R25","NIH","NEI","None","PAR-24-290","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-290.html"
"NCCIH Multi-Site Feasibility Clinical Trials of Mind and Body Interventions (R01 Clinical Trial Required)","11/21/2024","11/18/2026","R01","NIH","NCCIH","None","PAR-25-267","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-267.html"
"Limited Competition: NIH Neuroscience Doctoral Readiness Program (DR. Program) (R25 Clinical Trial Not Allowed)","11/21/2024","3/26/2025","R25","NIH","NINDS","NIDA","RFA-NS-25-027","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-027.html"
"Medical Devices for Pediatric Population Affected by Substance Use and Addiction (R41 - Clinical Trials Optional)","11/21/2024","2/27/2025","R41","NIH","NIDA","None","RFA-DA-26-017","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-017.html"
"Medical Devices for Pediatric Population Affected by Substance Use and Addiction (R43 - Clinical Trials Optional)","11/21/2024","2/27/2025","R43","NIH","NIDA","None","RFA-DA-26-016","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-016.html"
"NIDA Avant-Garde Program for HIV and Substance Use Disorder Research (DP1 Clinical Trial Optional)","11/21/2024","8/16/2025","DP1","NIH","NIDA","None","PAR-25-261","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-261.html"
"Role of T-Cells in HIV CNS Reservoir Seeding, Persistence, and Neuropathogenesis (R21 Clinical Trial Not Allowed)","11/21/2024","3/19/2025","R21","NIH","NIMH","NIDA, NINDS","RFA-MH-26-111","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-111.html"
"Role of T-Cells in HIV CNS Reservoir Seeding, Persistence, and Neuropathogenesis (R01 Clinical Trial Not Allowed)","11/21/2024","3/19/2025","R01","NIH","NIMH","NIDA, NINDS","RFA-MH-26-110","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-110.html"
"Screening, Brief Intervention and Referral to Treatment or Prevention (SBIRT/P) for alcohol, tobacco, and other drugs (ATOD) use and misuse in adult populations that experience health disparities (R01, Clinical Trial Required)","11/21/2024","5/8/2027","R01","NIH","ODP","NCI, NIAAA, NIDA, NIDCR, NIMHD, ORWH, SGMRO","PAR-26-001","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-26-001.html"
"Notice of Special Interest (NOSI): Advancing Research Needed to Develop a Universal Influenza Vaccine","11/21/2024","11/17/2027","R01,R21","NIH","NIAID","None","NOT-AI-24-081","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-AI-24-081.html"
"Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed)","11/21/2024","9/8/2025","R01","NIH","NIMH","None","PAR-25-035","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-035.html"
"Novel Assays to Address Translational Gaps in Treatment Development (UG3/UH3 Clinical Trial Optional)","11/21/2024","6/21/2025","UG3/UH3","NIH","NIMH","None","PAR-25-034","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-034.html"
"BRAIN Initiative: Promoting Equity Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed)","11/21/2024","6/18/2026","R34","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, OBSSR","RFA-NS-25-016","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-016.html"
"Advancing Learning Health Care Research in Outpatient Mental Health Treatment Settings (R34 Clinical Trial Optional)","11/21/2024","1/8/2026","R34","NIH","NIMH","NIDA","PAR-25-278","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-278.html"
"Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required)","11/21/2024","1/8/2028","R15","NIH","NICHD","NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIDA, NIDCD, NIMH, NINR","PAR-25-148","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-148.html"
"Occupational Safety and Health Training Project Grants [T03]","11/20/2024","11/28/2028","T03","CDC","NIOSH","None","RFA-OH-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-25-003.html"
"Notice of Special Interest (NOSI): Leveraging Microbial Exposure for Improving Mouse Models of Human Immunity","11/20/2024","11/17/2027","R01,R21","NIH","NIAID","None","NOT-AI-24-078","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-AI-24-078.html"
"NCI Pathway to Independence Award (K99/R00  Clinical Trial Not Allowed)","11/20/2024","10/15/2027","K99/R00","NIH","NCI","None","PAR-25-135","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-135.html"
"NIH StrokeNet Clinical Trials and Biomarker Studies for Stroke Treatment, Recovery, and Prevention (UG3/UH3 Clinical Trial Optional)","11/20/2024","11/20/2026","UG3/UH3","NIH","NINDS","None","PAR-25-052","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-052.html"
"Notice of Special Interest (NOSI): Accelerating Malaria Vaccine and Monoclonal Antibody Discovery","11/20/2024","11/17/2027","R01,R21","NIH","NIAID","None","NOT-AI-24-072","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-AI-24-072.html"
"Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed)","11/20/2024","10/3/2025","R21","NIH","NIDCD","NCATS, NICHD","PAR-25-217","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-217.html"
"Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed)","11/20/2024","10/3/2025","R21","NIH","NIDCD","NCATS, NICHD, NIMH","PAR-25-220","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-220.html"
"Chemical Countermeasures Research Program (CCRP) Initiative: Basic Research on The Deleterious Effects of Acute Exposure to Ultra-Potent Synthetic (UPS) Opioids (R01 Clinical Trial Not Allowed)","11/20/2024","11/19/2027","R01","NIH","NIDA","NIAID","RFA-DA-26-034","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-034.html"
"Advancing Genomic Medicine Research (R03 Clinical Trial Not Allowed)","11/19/2024","2/12/2025","R03","NIH","NHGRI","None","RFA-HG-25-004","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-004.html"
"Advancing Genomic Medicine Research (R21 Clinical Trial Optional)","11/19/2024","2/12/2025","R21","NIH","NHGRI","NCI","RFA-HG-25-003","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-003.html"
"Advancing Genomic Medicine Research (R01 Clinical Trial Optional)","11/19/2024","2/12/2025","R01","NIH","NHGRI","NCI","RFA-HG-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-002.html"
"Research Opportunities in Established Cancer Epidemiology Cohort Studies (U01 Clinical Trial Not Allowed)","11/19/2024","3/1/2025","U01","NIH","NCI","None","PAR-25-275","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-275.html"
"Biology of Bladder Cancer (R01 Clinical Trial Optional)","11/19/2024","9/8/2025","R01","NIH","NCI","None","PAR-25-129","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-129.html"
"Biology of Bladder Cancer (R21 Clinical Trial Optional)","11/19/2024","9/8/2025","R21","NIH","NCI","None","PAR-25-128","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-128.html"
"Limited Competition: Small Grant Program for ORIP Special Emphasis Research Career Award (SERCA) K01 Recipients (R03 Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R03","NIH","ORIP","None","PAR-25-176","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-176.html"
"NIDCR Research Grants for Analyses of Existing Genomics Data (R01) (Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R01","NIH","NIDCR","None","PAR-25-164","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-164.html"
"NIDCR Small Research Grants for Analyses of Existing Genomics Data (R03 Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R03","NIH","NIDCR","None","PAR-25-166","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-166.html"
"Aging Research Dissertation Awards to Promote Diversity (R36 Clinical Trial Not Allowed)","11/18/2024","11/17/2026","R36","NIH","NIA","None","PAR-24-130","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-130.html"
"NCMRR Early Career Research Award (R03 Clinical Trial Optional)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PAR-25-124","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-124.html"
"Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R01","NIH","NCI","NHGRI, NIA, NIDCR","PAR-25-095","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-095.html"
"Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R21 Clinical Trials Not Allowed)","11/18/2024","9/8/2026","R21","NIH","NCI","NHGRI, NIA, NIDCR","PAR-25-096","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-096.html"
"Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R21 Clinical Trial Not Allowed)","11/18/2024","1/8/2027","R21","NIH","NCI","None","PAR-25-070","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-070.html"
"Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R01 Clinical Trial Optional)","11/18/2024","1/8/2027","R01","NIH","NCI","None","PAR-25-069","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-069.html"
"NIDCR Small Grant Program for New Investigators (R03 Clinical Trial Not Allowed)","11/18/2024","1/8/2028","R03","NIH","NIDCR","None","PAR-25-105","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-105.html"
"Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","NIA","PAR-25-064","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-064.html"
"Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","NIA","PAR-25-065","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-065.html"
"Social disconnection and Suicide Risk in Late Life (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-066","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-066.html"
"Social disconnection and Suicide Risk in Late Life (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-067","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-067.html"
"Contraceptive Development Research Centers (P50 Clinical Trial Optional)","11/18/2024","11/13/2025","P50","NIH","NICHD","None","RFA-HD-26-004","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-26-004.html"
"Investigator Initiated Innovation in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R21","NIH","NHGRI","NLM","PAR-25-229","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-229.html"
"Investigator Initiated Innovation in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R01","NIH","NHGRI","NLM","PAR-25-228","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-228.html"
"Basic Research in Cancer Health Disparities (R21 Clinical Trial Not Allowed)","11/18/2024","11/17/2027","R21","NIH","NCI","None","PAR-25-244","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-244.html"
"Basic Research in Cancer Health Disparities (R01 Clinical Trial Not Allowed)","11/18/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-243","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-243.html"
"NHLBI SBIR Phase IIB Bridge Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)","11/18/2024","2/27/2027","R44","NIH","NHLBI","None","RFA-HL-26-014","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-014.html"
"NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)","11/18/2024","2/27/2027","R44","NIH","NHLBI","NCATS","RFA-HL-26-015","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-015.html"
"Systematic Testing of Radionuclides in Preclinical Experiments (STRIPE) (R01 Clinical Trial Not Allowed)","11/18/2024","5/8/2025","R01","NIH","NCI","None","PA-25-174","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-174.html"
"Systematic Testing of Radionuclides in Preclinical Experiments (STRIPE) (R21 Clinical Trial Not Allowed)","11/18/2024","5/8/2025","R21","NIH","NCI","None","PA-25-173","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-173.html"
"Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R21","NIH","NICHD","NIDCD","PAR-25-113","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-113.html"
"Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R01","NIH","NICHD","NIDCD","PAR-25-112","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-112.html"
"Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional)","11/18/2024","5/8/2026","R21","NIH","NICHD","NIAID, NIDA, ORWH","PAR-25-111","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-111.html"
"Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional)","11/18/2024","5/8/2026","R01","NIH","NICHD","NIAID, NIDA, NIMH, ORWH","PAR-25-110","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-110.html"
"Schizophrenia and related disorders during mid- to late-life (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-040","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-040.html"
"Cellular and Molecular Biology of Complex Brain Disorders (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-038","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-038.html"
"Schizophrenia and related disorders during mid- to late-life (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-039","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-039.html"
"Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-037","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-037.html"
"Archiving and Documenting Child Health and Human Development Data Sets (R03 Clinical Trial Not Allowed)","11/18/2024","11/17/2025","R03","NIH","NICHD","None","PAR-25-092","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-092.html"
"Small Research Grants for Analyses of Gabriella Miller Kids First Pediatric Research Data (R03 Clinical Trial Not Allowed)","11/18/2024","11/17/2025","R03","NIH","NICHD","NCI, NIDCR","PAR-25-109","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-109.html"
"Impacts of climate change across the cancer control continuum (R21 Clinical Trial Optional)","11/18/2024","5/8/2026","R21","NIH","NCI","None","PAR-25-152","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-152.html"
"Impacts of climate change across the cancer control continuum (R01 Clinical Trial Optional)","11/18/2024","5/8/2026","R01","NIH","NCI","None","PAR-25-094","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-094.html"
"Small Research Grant Program for the Next Generation of Researchers in AD/ADRD Research (R03 Clinical Trial Optional)","11/18/2024","3/17/2026","R03","NIH","NIA","None","PA-25-246","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-246.html"
"Enhancing Reuse of NHGRI Data Assets (R03 Clinical Trial Not Allowed)","11/18/2024","2/16/2026","R03","NIH","NHGRI","None","RFA-HG-25-005","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-005.html"
"NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed)","11/18/2024","11/13/2027","R25","NIH","NIDA","None","PAR-25-204","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-204.html"
"Pragmatic Trials across the Cancer Control Continuum (UG3/UH3 Clinical Trial Required)","11/18/2024","11/18/2025","UG3/UH3","NIH","NCI","None","PAR-25-072","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-072.html"
"NICHD Small Research Grant Program (R03 Clinical Trial Required)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PA-25-125","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-125.html"
"NICHD Small Research Grant Program (R03 Basic Experimental Studies with Humans Required)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PA-25-126","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-126.html"
